

                                                            Ecliptic Coordinate System

                         +---------- Position (1 Rs = 60268.0 km) ----------+    +-------------------- Velocity --------------------+

      SCET (UT)              X (Rs)        Y (Rs)        Z (Rs)        R (Rs)      X (km/s)      Y (km/s)      Z (km/s)   Vmag (km/s)
2015 127 02 00 00.000        -3.813       -24.404         6.368        25.508         3.445         3.349        -2.229         5.297
2015 128 02 00 00.000         1.109       -18.438         2.958        18.707         3.026         5.009        -2.336         6.301
2015 129 02 00 00.000         4.941        -8.721        -0.637        10.043         1.732         9.379        -2.560         9.875
2015 130 02 00 00.000        -3.783         5.203         0.767         6.478       -11.716        -0.149         5.426        12.912
2015 131 02 00 00.000       -14.664         0.755         6.616        16.105        -5.055        -3.935         3.067         7.102
2015 132 02 00 00.000       -20.187        -4.792        10.202        23.121        -2.920        -3.741         2.046         5.168
2015 133 02 00 00.000       -23.485        -9.875        12.673        28.454        -1.765        -3.362         1.442         4.062
2015 134 02 00 00.000       -25.435       -14.406        14.418        32.593        -0.989        -2.979         1.012         3.298
2015 135 02 00 00.000       -26.426       -18.396        15.618        35.786        -0.405        -2.610         0.673         2.726
2015 136 02 00 00.000       -26.668       -21.866        16.373        38.176         0.067        -2.252         0.388         2.286
2015 137 02 00 00.000       -26.290       -24.827        16.747        39.850         0.468        -1.898         0.137         1.960
2015 138 02 00 00.000       -25.376       -27.280        16.777        40.860         0.821        -1.542        -0.093         1.749
2015 139 02 00 00.000       -23.981       -29.215        16.487        41.236         1.142        -1.175        -0.309         1.667
2015 140 02 00 00.000       -22.144       -30.613        15.893        40.989         1.440        -0.788        -0.519         1.721
2015 141 02 00 00.000       -19.892       -31.435        15.000        40.110         1.723        -0.369        -0.728         1.907
2015 142 02 00 00.000       -17.241       -31.628        13.805        38.576         1.998         0.096        -0.941         2.210
2015 143 02 00 00.000       -14.200       -31.107        12.298        36.339         2.267         0.634        -1.164         2.626
2015 144 02 00 00.000       -10.776       -29.743        10.458        33.319         2.533         1.282        -1.407         3.168
2015 145 02 00 00.000        -6.973       -27.331         8.250        29.389         2.791         2.117        -1.680         3.885
2015 146 02 00 00.000        -2.817       -23.502         5.619        24.328         3.014         3.304        -2.001         4.900
2015 147 02 00 00.000         1.563       -17.474         2.483        17.719         3.045         5.324        -2.385         6.581
2015 148 02 00 00.000         5.162        -6.880        -1.128         8.675         1.057        10.508        -2.414        10.833
2015 149 02 00 00.000        -5.788         5.058         1.752         7.884       -10.183        -1.734         5.028        11.489
2015 150 02 00 00.000       -15.574         0.159         7.177        17.149        -4.702        -3.906         2.889         6.761
2015 151 02 00 00.000       -20.767        -5.304        10.579        23.903        -2.769        -3.672         1.952         4.996
2015 152 02 00 00.000       -23.902       -10.293        12.940        29.063        -1.679        -3.300         1.379         3.951
2015 153 02 00 00.000       -25.753       -14.740        14.606        33.073        -0.933        -2.925         0.964         3.218
2015 154 02 00 00.000       -26.676       -18.659        15.744        36.161        -0.364        -2.563         0.634         2.666
2015 155 02 00 00.000       -26.866       -22.066        16.449        38.462         0.099        -2.211         0.355         2.241
2015 156 02 00 00.000       -26.447       -24.971        16.778        40.056         0.495        -1.861         0.108         1.929
2015 157 02 00 00.000       -25.495       -27.372        16.768        40.993         0.846        -1.507        -0.119         1.732
2015 158 02 00 00.000       -24.065       -29.260        16.442        41.299         1.165        -1.142        -0.334         1.665
2015 159 02 00 00.000       -22.195       -30.610        15.813        40.984         1.464        -0.755        -0.543         1.734
2015 160 02 00 00.000       -19.907       -31.386        14.887        40.037         1.749        -0.336        -0.750         1.933
2015 161 02 00 00.000       -17.217       -31.529        13.659        38.433         2.025         0.132        -0.963         2.247
2015 162 02 00 00.000       -14.135       -30.953        12.120        36.121         2.298         0.675        -1.187         2.673
2015 163 02 00 00.000       -10.663       -29.524        10.246        33.020         2.567         1.334        -1.431         3.228
2015 164 02 00 00.000        -6.808       -27.025         8.003        28.995         2.830         2.189        -1.706         3.964
2015 165 02 00 00.000        -2.594       -23.064         5.332        23.814         3.055         3.422        -2.030         5.016
2015 166 02 00 00.000         1.833       -16.794         2.150        17.030         3.058         5.571        -2.415         6.799
2015 167 02 00 00.000         5.213        -5.510        -1.437         7.720         0.366        11.419        -2.208        11.636
2015 168 02 00 00.000        -7.006         4.828         2.387         8.837        -9.314        -2.369         4.730        10.712
2015 169 02 00 00.000       -16.172        -0.249         7.529        17.841        -4.494        -3.877         2.766         6.549
2015 170 02 00 00.000       -21.171        -5.650        10.799        24.429        -2.680        -3.624         1.881         4.884
2015 171 02 00 00.000       -24.213       -10.572        13.075        29.479        -1.631        -3.256         1.330         3.877
2015 172 02 00 00.000       -26.010       -14.960        14.680        33.404        -0.903        -2.887         0.927         3.164
2015 173 02 00 00.000       -26.898       -18.827        15.771        36.424        -0.344        -2.530         0.604         2.623
2015 174 02 00 00.000       -27.064       -22.189        16.435        38.664         0.115        -2.181         0.330         2.209
2015 175 02 00 00.000       -26.623       -25.052        16.731        40.204         0.508        -1.834         0.086         1.905
2015 176 02 00 00.000       -25.653       -27.417        16.692        41.090         0.858        -1.483        -0.138         1.719
2015 177 02 00 00.000       -24.206       -29.271        16.341        41.349         1.178        -1.119        -0.350         1.662
2015 178 02 00 00.000       -22.316       -30.590        15.690        40.987         1.478        -0.733        -0.557         1.741
2015 179 02 00 00.000       -20.008       -31.334        14.743        39.994         1.764        -0.314        -0.763         1.948
2015 180 02 00 00.000       -17.295       -31.445        13.498        38.342         2.043         0.156        -0.975         2.270
2015 181 02 00 00.000       -14.184       -30.834        11.942        35.979         2.319         0.702        -1.198         2.703
2015 182 02 00 00.000       -10.678       -29.362        10.053        32.821         2.594         1.367        -1.441         3.267
2015 183 02 00 00.000        -6.780       -26.806         7.795        28.728         2.862         2.237        -1.716         4.018
2015 184 02 00 00.000        -2.516       -22.758         5.108        23.459         3.092         3.501        -2.042         5.098
2015 185 02 00 00.000         1.962       -16.319         1.911        16.547         3.082         5.748        -2.425         6.958
2015 186 02 00 00.000         5.174        -4.510        -1.624         7.053        -0.256        12.124        -1.974        12.287
2015 187 02 00 00.000        -7.787         4.639         2.817         9.491        -8.784        -2.663         4.539        10.240
2015 188 02 00 00.000       -16.571        -0.500         7.785        18.316        -4.371        -3.841         2.692         6.411
2015 189 02 00 00.000       -21.526        -6.073        11.044        24.944        -2.682        -3.804         1.898         5.026
2015 190 02 00 00.000       -24.605       -11.252        13.362        30.175        -1.681        -3.436         1.369         4.063
2015 191 02 00 00.000       -26.504       -15.903        15.039        34.374        -0.995        -3.074         0.988         3.378
2015 192 02 00 00.000       -27.553       -20.045        16.231        37.742        -0.476        -2.729         0.687         2.854
2015 193 02 00 00.000       -27.938       -23.704        17.031        40.404        -0.058        -2.399         0.435         2.438
2015 194 02 00 00.000       -27.775       -26.898        17.495        42.438         0.295        -2.078         0.216         2.110
2015 195 02 00 00.000       -27.144       -29.635        17.661        43.897         0.601        -1.762         0.019         1.862
2015 196 02 00 00.000       -26.099       -31.920        17.557        44.814         0.875        -1.444        -0.163         1.697
2015 197 02 00 00.000       -24.679       -33.746        17.200        45.207         1.126        -1.121        -0.334         1.623
2015 198 02 00 00.000       -22.916       -35.101        16.602        45.086         1.358        -0.784        -0.500         1.646
2015 199 02 00 00.000       -20.829       -35.961        15.768        44.448         1.577        -0.428        -0.662         1.764
2015 200 02 00 00.000       -18.436       -36.292        14.702        43.280         1.787        -0.043        -0.825         1.968
2015 201 02 00 00.000       -15.748       -36.045        13.401        41.555         1.988         0.383        -0.991         2.254
2015 202 02 00 00.000       -12.776       -35.148        11.858        39.233         2.183         0.869        -1.163         2.622
2015 203 02 00 00.000        -9.529       -33.497        10.061        36.250         2.370         1.444        -1.347         3.085
2015 204 02 00 00.000        -6.022       -30.932         7.989        32.510         2.542         2.158        -1.547         3.676
2015 205 02 00 00.000        -2.290       -27.190         5.615        27.858         2.676         3.113        -1.768         4.470
2015 206 02 00 00.000         1.567       -21.782         2.907        22.031         2.686         4.546        -2.012         5.651
2015 207 02 00 00.000         5.136       -13.593        -0.129        14.531         2.096         7.228        -2.183         7.836
2015 208 02 00 00.000         4.645         0.855        -2.309         5.257        -6.907        12.862         1.081        14.640
2015 209 02 00 00.000       -10.131         4.141         4.038        11.666        -7.389        -3.462         4.023         9.097
2015 210 02 00 00.000       -17.859        -1.461         8.577        19.866        -3.977        -4.002         2.521         6.180
2015 211 02 00 00.000       -22.373        -6.996        11.603        26.156        -2.467        -3.707         1.766         4.790
2015 212 02 00 00.000       -25.215       -12.039        13.764        31.147        -1.552        -3.345         1.278         3.903
2015 213 02 00 00.000       -26.961       -16.565        15.327        35.160        -0.906        -2.992         0.918         3.258
2015 214 02 00 00.000       -27.900       -20.597        16.429        38.374        -0.409        -2.656         0.629         2.760
2015 215 02 00 00.000       -28.200       -24.156        17.153        40.902        -0.004        -2.332         0.386         2.364
2015 216 02 00 00.000       -27.967       -27.258        17.551        42.816         0.340        -2.017         0.173         2.052
2015 217 02 00 00.000       -27.274       -29.910        17.658        44.163         0.642        -1.704        -0.020         1.821
2015 218 02 00 00.000       -26.173       -32.114        17.500        44.973         0.913        -1.389        -0.199         1.674
2015 219 02 00 00.000       -24.701       -33.861        17.093        45.264         1.162        -1.066        -0.369         1.619
2015 220 02 00 00.000       -22.886       -35.137        16.446        45.042         1.394        -0.729        -0.533         1.661
2015 221 02 00 00.000       -20.747       -35.916        15.566        44.302         1.614        -0.370        -0.694         1.796
2015 222 02 00 00.000       -18.300       -36.162        14.454        43.029         1.825         0.019        -0.857         2.017
2015 223 02 00 00.000       -15.555       -35.821        13.107        41.193         2.030         0.453        -1.023         2.318
2015 224 02 00 00.000       -12.521       -34.817        11.517        38.751         2.228         0.950        -1.197         2.702
2015 225 02 00 00.000        -9.208       -33.037         9.670        35.634         2.418         1.544        -1.382         3.185
2015 226 02 00 00.000        -5.631       -30.308         7.546        31.737         2.592         2.291        -1.585         3.805
2015 227 02 00 00.000        -1.827       -26.336         5.116        26.891         2.723         3.308        -1.810         4.651
2015 228 02 00 00.000         2.080       -20.564         2.347        20.802         2.699         4.882        -2.053         5.944
2015 229 02 00 00.000         5.539       -11.637        -0.718        12.908         1.822         8.026        -2.147         8.506
2015 230 02 00 00.000         2.160         3.860        -1.643         4.719       -11.782         9.299         4.009        15.536
2015 231 02 00 00.000       -11.913         3.308         5.050        13.356        -6.485        -3.707         3.646         8.312
2015 232 02 00 00.000       -18.879        -2.309         9.233        21.143        -3.664        -3.924         2.357         5.863
2015 233 02 00 00.000       -23.072        -7.717        12.080        27.162        -2.306        -3.616         1.669         4.602
2015 234 02 00 00.000       -25.733       -12.635        14.126        31.959        -1.452        -3.264         1.211         3.772
2015 235 02 00 00.000       -27.361       -17.053        15.604        35.818        -0.837        -2.921         0.866         3.159
2015 236 02 00 00.000       -28.216       -20.988        16.639        38.904        -0.358        -2.592         0.587         2.682
2015 237 02 00 00.000       -28.450       -24.461        17.307        41.319         0.037        -2.275         0.350         2.302
2015 238 02 00 00.000       -28.164       -27.484        17.656        43.131         0.375        -1.965         0.140         2.005
2015 239 02 00 00.000       -27.424       -30.065        17.719        44.384         0.673        -1.655        -0.050         1.788
2015 240 02 00 00.000       -26.280       -32.200        17.519        45.104         0.942        -1.343        -0.227         1.656
2015 241 02 00 00.000       -24.767       -33.882        17.071        45.308         1.191        -1.021        -0.396         1.618
2015 242 02 00 00.000       -22.910       -35.094        16.386        45.000         1.423        -0.684        -0.560         1.676
2015 243 02 00 00.000       -20.728       -35.809        15.468        44.172         1.645        -0.325        -0.721         1.825
2015 244 02 00 00.000       -18.235       -35.987        14.317        42.809         1.858         0.068        -0.885         2.059
2015 245 02 00 00.000       -15.442       -35.573        12.930        40.879         2.065         0.507        -1.052         2.372
2015 246 02 00 00.000       -12.355       -34.485        11.297        38.333         2.267         1.015        -1.228         2.770
2015 247 02 00 00.000        -8.983       -32.602         9.404        35.100         2.461         1.625        -1.416         3.271
2015 248 02 00 00.000        -5.342       -29.738         7.229        31.066         2.638         2.401        -1.622         3.919
2015 249 02 00 00.000        -1.473       -25.571         4.741        26.049         2.767         3.476        -1.852         4.813
2015 250 02 00 00.000         2.482       -19.475         1.910        19.725         2.709         5.191        -2.096         6.219
2015 251 02 00 00.000         5.798        -9.832        -1.178        11.475         1.465         8.837        -2.084         9.197
2015 252 02 00 00.000        -0.579         5.332        -0.567         5.393       -12.753         4.119         5.356        14.432
2015 253 02 00 00.000       -13.252         2.578         5.836        14.707        -5.879        -3.805         3.368         7.771
2015 254 02 00 00.000       -19.683        -3.010         9.745        22.168        -3.432        -3.857         2.222         5.621
2015 255 02 00 00.000       -23.632        -8.313        12.438        27.969        -2.181        -3.543         1.583         4.452
2015 256 02 00 00.000       -26.149       -13.131        14.378        32.603        -1.372        -3.197         1.147         3.663
2015 257 02 00 00.000       -27.680       -17.458        15.775        36.330        -0.779        -2.861         0.815         3.076
2015 258 02 00 00.000       -28.462       -21.313        16.743        39.302        -0.312        -2.539         0.543         2.615
2015 259 02 00 00.000       -28.636       -24.712        17.352        41.615         0.075        -2.226         0.311         2.249
2015 260 02 00 00.000       -28.298       -27.667        17.648        43.332         0.409        -1.918         0.105         1.964
2015 261 02 00 00.000       -27.511       -30.182        17.663        44.494         0.705        -1.611        -0.082         1.760
2015 262 02 00 00.000       -26.321       -32.254        17.417        45.127         0.974        -1.299        -0.258         1.644
2015 263 02 00 00.000       -24.762       -33.872        16.926        45.244         1.223        -0.976        -0.426         1.622
2015 264 02 00 00.000       -22.858       -35.019        16.198        44.846         1.457        -0.637        -0.589         1.696
2015 265 02 00 00.000       -20.626       -35.664        15.238        43.926         1.681        -0.274        -0.751         1.861
2015 266 02 00 00.000       -18.080       -35.766        14.044        42.465         1.897         0.125        -0.915         2.110
2015 267 02 00 00.000       -15.227       -35.264        12.612        40.429         2.108         0.573        -1.083         2.438
2015 268 02 00 00.000       -12.076       -34.071        10.934        37.766         2.313         1.095        -1.261         2.853
2015 269 02 00 00.000        -8.634       -32.058         8.991        34.396         2.512         1.729        -1.451         3.377
2015 270 02 00 00.000        -4.917       -29.017         6.763        30.198         2.692         2.547        -1.661         4.061
2015 271 02 00 00.000        -0.973       -24.590         4.216        24.968         2.813         3.705        -1.895         5.023
2015 272 02 00 00.000         2.832       -18.119         1.429        18.394         2.055         5.218        -1.749         5.874
2015 273 02 00 00.000         5.041        -8.022        -1.134         9.542         0.370         9.746        -1.648         9.892
2015 274 02 00 00.000        -6.610         1.006         2.928         7.300        -8.404        -6.616         4.917        11.772
2015 275 02 00 00.000       -13.154        -7.886         7.322        16.995        -2.500        -5.465         1.991         6.331
2015 276 02 00 00.000       -15.444       -14.784         9.429        23.367        -0.898        -4.237         1.057         4.458
2015 277 02 00 00.000       -16.082       -20.157        10.532        27.855        -0.048        -3.304         0.520         3.345
2015 278 02 00 00.000       -15.737       -24.311        10.992        30.976         0.514        -2.520         0.139         2.576
2015 279 02 00 00.000       -14.701       -27.401        10.967        32.973         0.933        -1.810        -0.164         2.043
2015 280 02 00 00.000       -13.134       -29.499        10.541        33.968         1.265        -1.129        -0.424         1.748
2015 281 02 00 00.000       -11.132       -30.621         9.765        34.014         1.542        -0.442        -0.656         1.733
2015 282 02 00 00.000        -8.764       -30.734         8.666        33.114         1.778         0.287        -0.875         2.003
2015 283 02 00 00.000        -6.083       -29.748         7.257        31.219         1.978         1.103        -1.090         2.514
2015 284 02 00 00.000        -3.143       -27.488         5.539        28.216         2.135         2.083        -1.308         3.257
2015 285 02 00 00.000        -0.027       -23.621         3.502        23.879         2.211         3.386        -1.536         4.326
2015 286 02 00 00.000         3.060       -17.430         1.136        17.733         2.033         5.455        -1.757         6.081
2015 287 02 00 00.000         5.041        -6.700        -1.376         8.496        -0.178        10.580        -1.474        10.683
2015 288 02 00 00.000        -7.615         0.155         3.546         8.401        -7.204        -6.706         4.362        10.765
2015 289 02 00 00.000       -13.481        -8.560         7.575        17.674        -2.306        -5.333         1.864         6.102
2015 290 02 00 00.000       -15.589       -15.300         9.551        23.839        -0.813        -4.144         0.989         4.337
2015 291 02 00 00.000       -16.135       -20.554        10.573        28.188         0.001        -3.230         0.472         3.265
2015 292 02 00 00.000       -15.731       -24.610        10.972        31.201         0.549        -2.456         0.101         2.519
2015 293 02 00 00.000       -14.651       -27.612        10.898        33.104         0.960        -1.751        -0.195         2.006
2015 294 02 00 00.000       -13.047       -29.626        10.434        34.012         1.289        -1.071        -0.449         1.734
2015 295 02 00 00.000       -11.014       -30.664         9.624        33.973         1.564        -0.381        -0.678         1.746
2015 296 02 00 00.000        -8.616       -30.687         8.495        32.986         1.798         0.353        -0.895         2.039
2015 297 02 00 00.000        -5.907       -29.600         7.059        30.998         1.997         1.180        -1.108         2.571
2015 298 02 00 00.000        -2.941       -27.216         5.316        27.886         2.152         2.181        -1.325         3.338
2015 299 02 00 00.000         0.194       -23.183         3.255        23.411         2.220         3.527        -1.551         4.447
2015 300 02 00 00.000         3.274       -16.720         0.872        17.060         2.000         5.718        -1.763         6.309
2015 301 02 00 00.000         4.954        -5.281        -1.567         7.409        -0.962        11.558        -1.211        11.661
2015 302 02 00 00.000        -8.481        -0.696         4.087         9.440        -6.291        -6.663         3.916         9.965
2015 303 02 00 00.000       -13.782        -9.215         7.804        18.324        -2.128        -5.205         1.748         5.889
2015 304 02 00 00.000       -15.720       -15.800         9.658        24.290        -0.731        -4.051         0.925         4.220
2015 305 02 00 00.000       -16.175       -20.936        10.604        28.503         0.052        -3.156         0.427         3.185
2015 306 02 00 00.000       -15.710       -24.893        10.947        31.405         0.585        -2.391         0.066         2.462
2015 307 02 00 00.000       -14.584       -27.804        10.828        33.211         0.989        -1.689        -0.224         1.970
2015 308 02 00 00.000       -12.941       -29.731        10.323        34.029         1.314        -1.010        -0.474         1.724
2015 309 02 00 00.000       -10.873       -30.679         9.478        33.901         1.587        -0.317        -0.702         1.764
2015 310 02 00 00.000        -8.443       -30.606         8.318        32.821         1.820         0.424        -0.917         2.081
2015 311 02 00 00.000        -5.704       -29.408         6.851        30.730         2.018         1.264        -1.129         2.635
2015 312 02 00 00.000        -2.710       -26.888         5.079        27.498         2.169         2.290        -1.345         3.429
2015 313 02 00 00.000         0.446       -22.665         2.990        22.866         2.227         3.690        -1.570         4.587
2015 314 02 00 00.000         3.507       -15.881         0.586        16.274         1.950         6.035        -1.769         6.584
2015 315 02 00 00.000         4.703        -3.525        -1.719         6.124        -2.376        12.870        -0.691        13.105
2015 316 02 00 00.000        -9.333        -1.659         4.630        10.550        -5.480        -6.551         3.502         9.231
2015 317 02 00 00.000       -14.095        -9.956         8.036        19.036        -1.958        -5.065         1.633         5.670
2015 318 02 00 00.000       -15.861       -16.101         9.802        24.635        -0.627        -3.725         0.877         3.878
2015 319 02 00 00.000       -16.176       -20.781        10.683        28.419         0.148        -2.840         0.381         2.870
2015 320 02 00 00.000       -15.564       -24.280        10.952        30.849         0.696        -2.064         0.007         2.179
2015 321 02 00 00.000       -14.261       -26.703        10.734        32.120         1.125        -1.332        -0.305         1.770
2015 322 02 00 00.000       -12.400       -28.081        10.094        32.314         1.483        -0.597        -0.584         1.702
2015 323 02 00 00.000       -10.062       -28.379         9.065        31.445         1.793         0.185        -0.850         1.993
2015 324 02 00 00.000        -7.304       -27.490         7.657        29.456         2.069         1.073        -1.115         2.584
2015 325 02 00 00.000        -4.177       -25.195         5.860        26.203         2.306         2.172        -1.396         3.462
2015 326 02 00 00.000        -0.755       -21.049         3.639        21.374         2.463         3.722        -1.710         4.779
2015 327 02 00 00.000         2.705       -13.945         0.940        14.237         2.241         6.569        -2.052         7.238
2015 328 02 00 00.000         2.176         1.193        -1.183         2.749       -13.314        15.194         3.727        20.544
2015 329 02 00 00.000       -11.145        -4.371         5.788        13.297        -3.961        -5.947         2.742         7.653
2015 330 02 00 00.000       -14.753       -11.802         8.598        20.757        -1.496        -4.516         1.388         4.956
2015 331 02 00 00.000       -16.036       -17.491        10.068        25.777        -0.387        -3.476         0.718         3.571
2015 332 02 00 00.000       -16.071       -21.841        10.757        29.173         0.309        -2.626         0.266         2.658
2015 333 02 00 00.000       -15.259       -25.045        10.877        31.280         0.819        -1.865        -0.086         2.038
2015 334 02 00 00.000       -13.799       -27.185        10.533        32.255         1.225        -1.133        -0.387         1.713
2015 335 02 00 00.000       -11.805       -28.273         9.781        32.162         1.569        -0.388        -0.660         1.746
2015 336 02 00 00.000        -9.349       -28.256         8.646        30.993         1.871         0.418        -0.923         2.127
2015 337 02 00 00.000        -6.486       -27.004         7.134        28.674         2.138         1.352        -1.189         2.795
2015 338 02 00 00.000        -3.268       -24.253         5.228        25.024         2.362         2.543        -1.475         3.770
2015 339 02 00 00.000         0.209       -19.443         2.888        19.658         2.472         4.314        -1.797         5.287
2015 340 02 00 00.000         3.519       -11.037         0.075        11.584         1.870         8.044        -2.091         8.519
2015 341 02 00 00.000        -4.221         2.148         1.610         5.002       -12.052        -5.467         6.373        14.689
2015 342 02 00 00.000       -12.529        -6.672         6.775        15.729        -2.980        -5.498         2.210         6.632
2015 343 02 00 00.000       -15.284       -13.561         9.092        22.364        -1.120        -4.200         1.156         4.498
2015 344 02 00 00.000       -16.159       -18.851        10.299        26.880        -0.167        -3.228         0.569         3.282
2015 345 02 00 00.000       -15.933       -22.871        10.803        29.894         0.464        -2.410         0.154         2.459
2015 346 02 00 00.000       -14.927       -25.778        10.778        31.678         0.938        -1.663        -0.179         1.917
2015 347 02 00 00.000       -13.311       -27.631        10.311        32.357         1.324        -0.933        -0.468         1.686
2015 348 02 00 00.000       -11.185       -28.426         9.448        31.975         1.654        -0.177        -0.734         1.819
2015 349 02 00 00.000        -8.616       -28.091         8.209        30.508         1.945         0.655        -0.994         2.280
2015 350 02 00 00.000        -5.654       -26.467         6.595        27.856         2.201         1.641        -1.260         3.021
2015 351 02 00 00.000        -2.356       -23.232         4.585        23.797         2.405         2.943        -1.550         4.105
2015 352 02 00 00.000         1.154       -17.672         2.125        17.837         2.457         5.010        -1.887         5.890
2015 353 02 00 00.000         4.107        -7.557        -0.761         8.635         0.946        10.250        -1.976        10.481
2015 354 02 00 00.000        -7.701        -0.127         3.577         8.492        -7.176        -6.525         4.294        10.607
2015 355 02 00 00.000       -13.620        -8.508         7.568        17.753        -2.369        -5.101         1.859         5.923
2015 356 02 00 00.000       -15.812       -14.931         9.540        23.748        -0.861        -3.932         0.986         4.144
2015 357 02 00 00.000       -16.404       -19.888        10.552        27.856        -0.015        -3.024         0.458         3.058
2015 358 02 00 00.000       -15.996       -23.643        10.920        30.563         0.570        -2.240         0.071         2.313
2015 359 02 00 00.000       -14.858       -26.320        10.787        32.092         1.020        -1.511        -0.247         1.840
2015 360 02 00 00.000       -13.135       -27.964        10.229        32.544         1.393        -0.790        -0.527         1.685
2015 361 02 00 00.000       -10.918       -28.554         9.286        31.950         1.714        -0.033        -0.788         1.887
2015 362 02 00 00.000        -8.267       -28.007         7.972        30.271         2.000         0.810        -1.045         2.397
2015 363 02 00 00.000        -5.230       -26.143         6.285        27.392         2.252         1.825        -1.312         3.181
2015 364 02 00 00.000        -1.865       -22.606         4.200        23.069         2.446         3.192        -1.600         4.328
2015 365 02 00 00.000         1.668       -16.586         1.677        16.754         2.427         5.451        -1.924         6.269
2016 001 02 00 00.000         4.200        -5.229        -1.168         6.808        -0.275        12.094        -1.655        12.209
2016 002 02 00 00.000        -9.044        -1.480         4.393        10.163        -5.814        -6.408         3.627         9.382
2016 003 02 00 00.000       -14.085        -9.560         7.908        18.770        -2.072        -4.910         1.679         5.587
2016 004 02 00 00.000       -15.980       -15.748         9.691        24.439        -0.713        -3.790         0.885         3.957
2016 005 02 00 00.000       -16.403       -20.519        10.582        28.321         0.082        -2.905         0.388         2.932
2016 006 02 00 00.000       -15.876       -24.112        10.860        30.845         0.642        -2.132         0.015         2.226
2016 007 02 00 00.000       -14.645       -26.636        10.655        32.210         1.079        -1.405        -0.294         1.796
2016 008 02 00 00.000       -12.844       -28.126        10.035        32.507         1.443        -0.680        -0.568         1.693
2016 009 02 00 00.000       -10.559       -28.552         9.035        31.754         1.760         0.087        -0.826         1.946
2016 010 02 00 00.000        -7.846       -27.820         7.668        29.904         2.041         0.951        -1.082         2.498
2016 011 02 00 00.000        -4.752       -25.729         5.928        26.827         2.287         2.005        -1.348         3.327
2016 012 02 00 00.000        -1.344       -21.880         3.789        22.247         2.467         3.458        -1.641         4.554
2016 013 02 00 00.000         2.180       -15.332         1.207        15.533         2.367         5.981        -1.959         6.724
2016 014 02 00 00.000         3.843        -2.265        -1.451         4.691        -3.423        14.862        -0.561        15.261
2016 015 02 00 00.000       -10.208        -2.895         5.141        11.790        -4.791        -6.184         3.109         8.418
2016 016 02 00 00.000       -14.520       -10.649         8.255        19.808        -1.936        -4.779         1.613         5.403
2016 017 02 00 00.000       -15.998       -17.252        10.131        25.616        -0.480        -4.111         0.981         4.254
2016 018 02 00 00.000       -16.171       -22.519        11.194        29.898         0.201        -3.276         0.529         3.325
2016 019 02 00 00.000       -15.548       -26.688        11.705        33.030         0.660        -2.567         0.198         2.658
2016 020 02 00 00.000       -14.363       -29.895        11.791        35.200         0.999        -1.926        -0.069         2.171
2016 021 02 00 00.000       -12.752       -32.213        11.526        36.512         1.263        -1.321        -0.296         1.851
2016 022 02 00 00.000       -10.801       -33.674        10.953        37.021         1.476        -0.726        -0.500         1.719
2016 023 02 00 00.000        -8.575       -34.275        10.100        36.747         1.649        -0.117        -0.689         1.791
2016 024 02 00 00.000        -6.125       -33.982         8.984        35.679         1.791         0.530        -0.864         2.058
2016 025 02 00 00.000        -3.496       -32.717         7.618        33.774         1.894         1.246        -1.042         2.495
2016 026 02 00 00.000        -0.750       -30.348         5.996        30.944         1.950         2.083        -1.222         3.104
2016 027 02 00 00.000         2.026       -26.641         4.112        27.032         1.924         3.137        -1.408         3.940
2016 028 02 00 00.000         4.652       -21.152         1.960        21.747         1.707         4.627        -1.592         5.182
2016 029 02 00 00.000         6.586       -12.866        -0.415        14.460         0.765         7.255        -1.679         7.486
2016 030 02 00 00.000         3.362         1.507        -1.717         4.065       -11.226        12.106         2.541        16.705
2016 031 02 00 00.000       -10.802        -2.770         5.133        12.276        -4.460        -6.470         3.111         8.452
2016 032 02 00 00.000       -14.751       -11.018         8.411        20.241        -1.263        -4.958         2.317         5.617
2016 033 02 00 00.000       -15.577       -17.330        11.126        25.822        -0.061        -3.913         1.554         4.211
2016 034 02 00 00.000       -15.177       -22.324        12.977        29.952         0.582        -3.092         1.053         3.318
2016 035 02 00 00.000       -14.034       -26.236        14.195        32.967         1.005        -2.391         0.659         2.676
2016 036 02 00 00.000       -12.380       -29.197        14.896        35.038         1.307        -1.758         0.326         2.215
2016 037 02 00 00.000       -10.353       -31.279        15.147        36.263         1.533        -1.158         0.028         1.921
2016 038 02 00 00.000        -8.046       -32.511        14.986        36.691         1.703        -0.568        -0.251         1.812
2016 039 02 00 00.000        -5.527       -32.891        14.430        36.340         1.828         0.036        -0.523         1.901
2016 040 02 00 00.000        -2.860       -32.385        13.485        35.196         1.910         0.677        -0.797         2.178
2016 041 02 00 00.000        -0.107       -30.914        12.138        33.212         1.943         1.388        -1.085         2.623
2016 042 02 00 00.000         2.647       -28.347        10.361        30.297         1.907         2.221        -1.401         3.245
2016 043 02 00 00.000         5.272       -24.448         8.098        26.288         1.746         3.271        -1.767         4.107
2016 044 02 00 00.000         7.494       -18.771         5.252        20.883         1.292         4.760        -2.223         5.410
2016 045 02 00 00.000         8.483       -10.290         1.654        13.438        -0.272         7.395        -2.817         7.918
2016 046 02 00 00.000         1.516         3.190        -1.673         3.908       -15.631         6.624         1.781        17.070
2016 047 02 00 00.000       -11.627        -3.277         4.545        12.907        -3.880        -6.239         3.533         8.153
